id,name,admin_id,tech_id,org_id,created,updated,source,raw
JESUSPAGAN-MNT,,JPJ99-RIPE,,,2024-04-10,2024-04-10,ripe,mntner:         JESUSPAGAN-MNT\nadmin-c:        JPJ99-RIPE\nupd-to:         jesus.pagan@disney.com\nauth:           SSO\nmnt-by:         JESUSPAGAN-MNT\ncreated:        2024-04-10T17:48:14Z\nlast-modified:  2024-04-10T17:48:14Z\nsource:         RIPE
GENERATED-NVD7ACY9Q184GCFI1F28SLX6LU119RJT-MNT,Auto-generated maintainer,AGMT2310-AFRINIC,,,,,afrinic,mntner:         GENERATED-NVD7ACY9Q184GCFI1F28SLX6LU119RJT-MNT\ndescr:          Auto-generated maintainer\nadmin-c:        AGMT2310-AFRINIC\nupd-to:         ***@afrinic.net\nauth:           BCRYPT-PW # Filtered\nmnt-by:         AFRINIC-HM-MNT\nchanged:        ***@afrinic.net\nsource:         AFRINIC\n
MNT-HIST-NZT-TV-NON-NZ,Television New Zealand\nP. O. Box 3819\nAuckland,MP321-AP,MP321-AP,,,2008-09-04,apnic,mntner:         MNT-HIST-NZT-TV-NON-NZ\ndescr:          Television New Zealand\ndescr:          P. O. Box 3819\ndescr:          Auckland\ncountry:        AU\nadmin-c:        MP321-AP\ntech-c:         MP321-AP\nremarks:        Synthesized during historical records transfer from NZ Telecom\nnotify:         soa@tvnz.co.nz\nupd-to:         soa@tvnz.co.nz\nauth:           # Filtered\nreferral-by:    APNIC-HM\nmnt-by:         MNT-HIST-NZT-TV-NON-NZ\nlast-modified:  2008-09-04T07:28:20Z\nsource:         APNIC
MAINT-YOUNGSTOWN-AP,Youngstown Systems LLC,YSLA1-AP,YSLA1-AP,,,2016-07-08,apnic,mntner:         MAINT-YOUNGSTOWN-AP\ndescr:          Youngstown Systems LLC\ncountry:        NZ\nadmin-c:        YSLA1-AP\ntech-c:         YSLA1-AP\nupd-to:         abuse@youngstownsystems.com\nauth:           # Filtered\nmnt-by:         MAINT-YOUNGSTOWN-AP\nreferral-by:    APNIC-HM\nlast-modified:  2016-07-08T07:52:08Z\nsource:         APNIC
GENERATED-JUUBANXR0YEFFDKROXIJWWDE9FGHZGQJ-MNT,Auto-generated maintainer,AGMT2310-AFRINIC,,,,,afrinic,mntner:         GENERATED-JUUBANXR0YEFFDKROXIJWWDE9FGHZGQJ-MNT\ndescr:          Auto-generated maintainer\nadmin-c:        AGMT2310-AFRINIC\nupd-to:         hostmaster@afrinic.net\nauth:           BCRYPT-PW # Filtered\nmnt-by:         AFRINIC-HM-MNT\nchanged:        hostmaster@afrinic.net\nsource:         AFRINIC # Filtered
MAINT-FOLLOWMONT-AU,Followmont Transport,FTA9-AP,,,,2023-11-30,apnic,mntner:         MAINT-FOLLOWMONT-AU\ndescr:          Followmont Transport\ncountry:        AU\nadmin-c:        FTA9-AP\nupd-to:         helpdesk@followmont.com.au\nauth:           # Filtered\nmnt-by:         MAINT-FOLLOWMONT-AU\nreferral-by:    APNIC-HM\nlast-modified:  2023-11-30T05:31:48Z\nsource:         APNIC
MNT-ES-TDACOMUNICACIONES1-1,Startup maintainer,AA36149-RIPE,AA36149-RIPE,,2020-05-19,2025-06-17,ripe,mntner:         mnt-es-tdacomunicaciones1-1\ndescr:          Startup maintainer\nadmin-c:        AA36149-RIPE\ntech-c:         AA36149-RIPE\nupd-to:         info@tdacomunicaciones.com\nauth:           SSO\nauth:           SSO\nauth:           SSO\nauth:           SSO\nauth:           SSO\nmnt-by:         mnt-es-tdacomunicaciones1-1\ncreated:        2020-05-19T11:35:20Z\nlast-modified:  2025-06-17T15:23:16Z\nsource:         RIPE
GENERATED-RS7CA3D4AQR7POF4XB8BJXNXJBSGIWL0-MNT,Auto-generated maintainer,AGMT2310-AFRINIC,,,,,afrinic,mntner:         GENERATED-RS7CA3D4AQR7POF4XB8BJXNXJBSGIWL0-MNT\ndescr:          Auto-generated maintainer\nadmin-c:        AGMT2310-AFRINIC\nauth:           BCRYPT-PW # Filtered\nmnt-by:         AFRINIC-HM-MNT\nupd-to:         ***@afrinic.net\nchanged:        ***@afrinic.net\nsource:         AFRINIC\n
ERX-NET-192-37-96-MNT,Auto-generated maintainer for ERX,DR1823-RIPE,,,2004-11-09,2005-02-18,ripe,"mntner:         ERX-NET-192-37-96-MNT\ndescr:          Auto-generated maintainer for ERX\nadmin-c:        DR1823-RIPE\nupd-to:         er-transfer@ripe.net\nremarks:        MD5 passwords older than November 2011 were removed from this maintainer, see: https://www.ripe.net/removed2011pw\nremarks:        \nremarks:        This maintainer was created for the ERX, and protects\nremarks:        the inetnum 192.37.96.0 - 192.37.96.255.\nremarks:        \nremarks:        For information on how to unlock the network protected\nremarks:        by this object, please see\nremarks:        http://www.ripe.net/ripencc/faq/database/erx-faq.html\nremarks:        \nmnt-by:         ERX-NET-192-37-96-MNT\ncreated:        2004-11-09T10:09:49Z\nlast-modified:  2005-02-18T13:36:51Z\nsource:         RIPE"
HOLDING1-MNT,,TKP-RIPE\nCHSA6-RIPE,,,2025-06-12,2025-06-12,ripe,mntner:         HOLDING1-MNT\nadmin-c:        TKP-RIPE\nadmin-c:        CHSA6-RIPE\nupd-to:         mariusz.mlynek@play.pl\nauth:           SSO\nauth:           SSO\nmnt-by:         HOLDING1-MNT\ncreated:        2025-06-12T07:16:14Z\nlast-modified:  2025-06-12T07:21:00Z\nsource:         RIPE
MAINT-ICAC-AU,Independent Commission Against Corruption,ICAC1-AP,ICAC1-AP,,,2016-11-21,apnic,mntner:         MAINT-ICAC-AU\ndescr:          Independent Commission Against Corruption\ncountry:        AU\nadmin-c:        ICAC1-AP\ntech-c:         ICAC1-AP\nupd-to:         its@icac.nsw.gov.au\nauth:           # Filtered\nmnt-by:         MAINT-ICAC-AU\nreferral-by:    APNIC-HM\nlast-modified:  2016-11-21T02:26:02Z\nsource:         APNIC
ERX-NET-192-66-97-MNT,Auto-generated maintainer for ERX,KS1744-RIPE,,,2004-11-09,2005-02-18,ripe,"mntner:         ERX-NET-192-66-97-MNT\ndescr:          Auto-generated maintainer for ERX\nadmin-c:        KS1744-RIPE\nupd-to:         er-transfer@ripe.net\nremarks:        MD5 passwords older than November 2011 were removed from this maintainer, see: https://www.ripe.net/removed2011pw\nremarks:        \nremarks:        This maintainer was created for the ERX, and protects\nremarks:        the inetnum 192.66.97.0 - 192.66.97.255.\nremarks:        \nremarks:        For information on how to unlock the network protected\nremarks:        by this object, please see\nremarks:        http://www.ripe.net/ripencc/faq/database/erx-faq.html\nremarks:        \nmnt-by:         ERX-NET-192-66-97-MNT\ncreated:        2004-11-09T10:56:07Z\nlast-modified:  2005-02-18T14:26:03Z\nsource:         RIPE"
MNT-IR-PARSPARVA6-1,Startup maintainer,HM6186-RIPE,HM6186-RIPE,,2019-11-19,2019-11-19,ripe,mntner:         mnt-ir-parsparva6-1\ndescr:          Startup maintainer\nadmin-c:        HM6186-RIPE\ntech-c:         HM6186-RIPE\nupd-to:         lir6@parspack.com\nauth:           SSO\nmnt-by:         mnt-ir-parsparva6-1\ncreated:        2019-11-19T12:46:51Z\nlast-modified:  2019-11-19T12:46:51Z\nsource:         RIPE
MNT-LT-ZERLETA1-1,Startup maintainer,IG3630-RIPE,IG3630-RIPE,,2019-11-15,2019-11-15,ripe,mntner:         mnt-lt-zerleta1-1\ndescr:          Startup maintainer\nadmin-c:        IG3630-RIPE\ntech-c:         IG3630-RIPE\nupd-to:         uabzerleta@gmail.com\nauth:           SSO\nmnt-by:         mnt-lt-zerleta1-1\ncreated:        2019-11-15T09:42:54Z\nlast-modified:  2019-11-15T09:42:54Z\nsource:         RIPE
MAINT-BD-LINKIT,Mainter for LinkIT,FR101-AP,FR101-AP,,,2016-05-04,apnic,mntner:         MAINT-BD-LINKIT\ndescr:          Mainter for LinkIT\ncountry:        BD\nadmin-c:        FR101-AP\ntech-c:         FR101-AP\nupd-to:         linkitbd.net@gmail.com\nmnt-by:         MAINT-BD-LINKIT\nmnt-nfy:        linkitbd.net@gmail.com\nauth:           # Filtered\nremarks:        Maintainer for LinkIT\nnotify:         linkitbd.net@gmail.com\nabuse-mailbox:  linkitbd.net@gmail.com\nreferral-by:    APNIC-HM\nlast-modified:  2016-05-04T13:12:35Z\nsource:         APNIC
NEO-PROTECT,MY PROTECT,LN15-AFRINIC,,,,2017-04-12,afrinic,mntner:         NEO-PROTECT\ndescr:          MY PROTECT\nadmin-c:        LN15-AFRINIC\nupd-to:         divy.moussiessie@umng.cg\nauth:           MD5-PW # Filtered\nmnt-by:         NEO-PROTECT\nchanged:        divy.moussiessie@umng.cg 20170412\nsource:         AFRINIC # Filtered
IMINGO-MNT,IMINGO maintainer,LB4157-RIPE,,,2006-01-09,2025-06-25,ripe,mntner:         IMINGO-MNT\ndescr:          IMINGO maintainer\nadmin-c:        LB4157-RIPE\nupd-to:         leonard@imingo.net\nauth:           SSO\nmnt-by:         IMINGO-MNT\ncreated:        2006-01-09T22:36:28Z\nlast-modified:  2025-06-25T10:30:37Z\nsource:         RIPE
MARNET-MK-MNT,,MA26084-RIPE,,,2016-08-08,2025-03-07,ripe,mntner:         MARNET-MK-MNT\nadmin-c:        MA26084-RIPE\nupd-to:         eva.nestorovska@marnet.mk\nupd-to:         rexhep.saliasi@marnet.mk\nauth:           SSO\nauth:           SSO\nmnt-by:         MARNET-MK-MNT\ncreated:        2016-08-08T08:48:28Z\nlast-modified:  2025-03-07T09:01:19Z\nsource:         RIPE
METRONET_DOO,Maintainer,NV7068-RIPE,,,2012-01-05,2025-07-02,ripe,mntner:         METRONET_DOO\ndescr:          Maintainer\nadmin-c:        NV7068-RIPE\nupd-to:         nenad.vidacek@metronet.hr\nauth:           SSO\nmnt-by:         METRONET_DOO\nnotify:         nenad.vidacek@metronet.hr\nremarks:        Accepted the RIPE Database Terms and Conditions\ncreated:        2012-01-05T10:39:26Z\nlast-modified:  2025-07-02T10:57:07Z\nsource:         RIPE
VVNETWORK-MNT,,VNN30-RIPE,,,2023-03-18,2023-03-18,ripe,mntner:         vvnetwork-mnt\nadmin-c:        VNN30-RIPE\nupd-to:         admin@vvnetwork.io\nauth:           SSO\nmnt-by:         vvnetwork-mnt\ncreated:        2023-03-18T04:34:11Z\nlast-modified:  2023-03-18T04:34:11Z\nsource:         RIPE
SEAN_MNTNR,,SW5799-RIPE,,,2018-08-30,2018-08-30,ripe,mntner:         Sean_MNTNR\nadmin-c:        SW5799-RIPE\nupd-to:         szymon.sikorski@link-connect.com\nauth:           SSO\nmnt-by:         Sean_MNTNR\ncreated:        2018-08-30T13:24:46Z\nlast-modified:  2018-08-30T13:24:46Z\nsource:         RIPE
GENERATED-2J2RWHRPAYOI8N6SBEBWCM74KCFADRRQ-MNT,Auto-generated maintainer,AGMT2310-AFRINIC,,,,,afrinic,mntner:         GENERATED-2J2RWHRPAYOI8N6SBEBWCM74KCFADRRQ-MNT\ndescr:          Auto-generated maintainer\nadmin-c:        AGMT2310-AFRINIC\nupd-to:         hostmaster@afrinic.net\nauth:           BCRYPT-PW # Filtered\nmnt-by:         AFRINIC-HM-MNT\nchanged:        hostmaster@afrinic.net\nsource:         AFRINIC # Filtered
GENERATED-HYEQERWPL4YDBQKPCWRIA21S80R0797V-MNT,Auto-generated maintainer,AGMT2310-AFRINIC,,,,,afrinic,mntner:         GENERATED-HYEQERWPL4YDBQKPCWRIA21S80R0797V-MNT\ndescr:          Auto-generated maintainer\nadmin-c:        AGMT2310-AFRINIC\nauth:           BCRYPT-PW # Filtered\nmnt-by:         AFRINIC-HM-MNT\nupd-to:         hostmaster@afrinic.net\nchanged:        hostmaster@afrinic.net\nsource:         AFRINIC # Filtered
MAINT-AU-ML245-AP,Synthesised maintainer for Morgyn J Lowrie,ML245-AP,ML245-AP,,,2016-10-20,apnic,mntner:         MAINT-AU-ML245-AP\ndescr:          Synthesised maintainer for Morgyn J Lowrie\ncountry:        AU\nadmin-c:        ML245-AP\ntech-c:         ML245-AP\nupd-to:         Morgyn@unsw.edu.au\nauth:           # Filtered\nmnt-nfy:        Morgyn@unsw.edu.au\nremarks:        This maintainer was created based on data from the AUNIC database.\nremarks:        The initial authorisation for objects protected by this mntner\nremarks:        (objects that mention this mntner in the mnt-by field) is\nremarks:        given at http://www.apnic.net/db/aunic/authorisation.html .\nremarks:        Nic-hdl ML245-AP is based on data for ML34-AU in AUNIC database.\nnotify:         Morgyn@unsw.edu.au\nmnt-by:         MAINT-AU-ML245-AP\nreferral-by:    APNIC-HM\nlast-modified:  2016-10-20T00:41:05Z\nsource:         APNIC
MNT-CZ-COMMERCEMEDIA-1,Startup maintainer,HE2395-RIPE\nMV14016-RIPE,HE2395-RIPE\nMV14016-RIPE,,2019-03-18,2019-03-18,ripe,mntner:         mnt-cz-commercemedia-1\ndescr:          Startup maintainer\nadmin-c:        HE2395-RIPE\nadmin-c:        MV14016-RIPE\ntech-c:         HE2395-RIPE\ntech-c:         MV14016-RIPE\nupd-to:         helpdesk@emailkampane.cz\nupd-to:         martin.vitak@emailkampane.cz\nauth:           SSO\nauth:           SSO\nauth:           SSO\nmnt-by:         mnt-cz-commercemedia-1\ncreated:        2019-03-18T11:16:18Z\nlast-modified:  2019-03-18T11:16:18Z\nsource:         RIPE
MAINT-IN-SKYCOMIN,Skycom Infotech,MA1510-AP,,,,2020-12-21,apnic,mntner:         MAINT-IN-SKYCOMIN\ndescr:          Skycom Infotech\nadmin-c:        MA1510-AP\nupd-to:         shubhamahirekar@skycominfotech.online\nauth:           # Filtered\nmnt-by:         MAINT-IN-SKYCOMIN\nlast-modified:  2020-12-21T04:33:25Z\nsource:         APNIC
GENERATED-AW8AW4R2X5WLU4H6VMDCSKIEOAZ7PURI-MNT,Auto-generated maintainer,AGMT2310-AFRINIC,,,,,afrinic,mntner:         GENERATED-AW8AW4R2X5WLU4H6VMDCSKIEOAZ7PURI-MNT\ndescr:          Auto-generated maintainer\nadmin-c:        AGMT2310-AFRINIC\nupd-to:         ***@afrinic.net\nauth:           BCRYPT-PW # Filtered\nmnt-by:         AFRINIC-HM-MNT\nchanged:        ***@afrinic.net\nsource:         AFRINIC\n
DE-DATENREISEN-1-MNT,Startup maintainer,DN3335-RIPE,DN3335-RIPE,,2015-07-07,2015-07-07,ripe,mntner:         de-datenreisen-1-mnt\ndescr:          Startup maintainer\nadmin-c:        DN3335-RIPE\ntech-c:         DN3335-RIPE\nupd-to:         noc@datenreisen.com\nauth:           SSO\nauth:           SSO\nmnt-by:         de-datenreisen-1-mnt\ncreated:        2015-07-07T14:40:22Z\nlast-modified:  2015-07-07T14:40:22Z\nsource:         RIPE
JULES-MNT,jules Maintainer,JSI-RIPE,JSI-RIPE,,1970-01-01,2012-10-25,ripe,"mntner:         JULES-MNT\ndescr:          jules Maintainer\nadmin-c:        JSI-RIPE\ntech-c:         JSI-RIPE\nupd-to:         guardian@jules.de\nmnt-nfy:        guardian@jules.de\nremarks:        MD5 passwords older than November 2011 were removed from this maintainer, see: https://www.ripe.net/removed2011pw\nnotify:         guardian@jules.de\nmnt-by:         JULES-MNT\ncreated:        1970-01-01T00:00:00Z\nlast-modified:  2012-10-25T09:36:36Z\nsource:         RIPE"
MAINT-IN-SAIDURGACOMMUNICATIONS,SAI DURGA COMMUNICATIONS,NM1959-AP,,,,2023-06-13,apnic,mntner:         MAINT-IN-SAIDURGACOMMUNICATIONS\ndescr:          SAI DURGA COMMUNICATIONS\nadmin-c:        NM1959-AP\nupd-to:         devicablecpl@gmail.com\nmnt-by:         MAINT-IN-SAIDURGACOMMUNICATIONS\nauth:           # Filtered\nlast-modified:  2023-06-13T06:27:34Z\nsource:         APNIC
MNT-ZLAT-TELECOM,Zlat telecom Ltd.,OVV24-RIPE,,,2008-05-30,2011-09-29,ripe,"mntner:         MNT-ZLAT-TELECOM\ndescr:          Zlat telecom Ltd.\nremarks:        MD5 passwords older than November 2011 were removed from this maintainer, see: https://www.ripe.net/removed2011pw\nnotify:         noc@zlattelecom.ru\nadmin-c:        OVV24-RIPE\nupd-to:         noc@zlattelecom.ru\nmnt-by:         MNT-ZLAT-TELECOM\ncreated:        2008-05-30T06:04:42Z\nlast-modified:  2011-09-29T07:25:15Z\nsource:         RIPE"
SY-LAZERNET-1-MNT,Startup maintainer,MH15093-RIPE,MH15093-RIPE,,2015-10-14,2015-10-19,ripe,mntner:         sy-lazernet-1-mnt\ndescr:          Startup maintainer\nadmin-c:        MH15093-RIPE\ntech-c:         MH15093-RIPE\nupd-to:         mhalimeh@lazernet.sy\nauth:           SSO\nmnt-by:         STEMNT-1\ncreated:        2015-10-14T12:26:57Z\nlast-modified:  2015-10-19T10:59:25Z\nsource:         RIPE
IL-BYNET-BUSINESS-1-MNT,BB maintainer,AK18369-RIPE\nDL9153-RIPE\nAA26571-RIPE\nIN1608-RIPE,BBTS2-RIPE,,2017-09-26,2024-02-04,ripe,mntner:         il-bynet-business-1-mnt\ndescr:          BB maintainer\nadmin-c:        AK18369-RIPE\nadmin-c:        DL9153-RIPE\nadmin-c:        AA26571-RIPE\nadmin-c:        IN1608-RIPE\ntech-c:         BBTS2-RIPE\nupd-to:         support@bynetb.co.il\nauth:           SSO\nauth:           SSO\nmnt-by:         il-bynet-business-1-mnt\ncreated:        2017-09-26T13:40:48Z\nlast-modified:  2024-02-04T04:51:21Z\nsource:         RIPE
MAINT-AS133072,Limewave Communications,DO159-AP,DO159-AP,,,2018-03-13,apnic,mntner:         MAINT-AS133072\ndescr:          Limewave Communications\ncountry:        CA\nadmin-c:        DO159-AP\nupd-to:         engineering@limewave.net\nauth:           # Filtered\nmnt-by:         MAINT-AS133072\nreferral-by:    APNIC-HM\ntech-c:         DO159-AP\nmnt-nfy:        engineering@limewave.net\nnotify:         engineering@limewave.net\nlast-modified:  2018-03-13T11:10:04Z\nsource:         APNIC
SAERO-MNT,Service-Aero Ltd,ASA83,AKO86,,2008-05-23,2010-08-30,ripe,"mntner:         SAERO-MNT\ndescr:          Service-Aero Ltd\nupd-to:         abraxa@mail.ru\nadmin-c:        ASA83\ntech-c:         AKO86\nauth:           PGPKEY-C396EEA0\nremarks:        MD5 passwords older than November 2011 were removed from this maintainer, see: https://www.ripe.net/removed2011pw\nmnt-by:         SAERO-MNT\ncreated:        2008-05-23T09:06:09Z\nlast-modified:  2010-08-30T13:15:05Z\nsource:         RIPE"
SERVERSF-MNT,,IA6362-RIPE,,,2020-08-26,2020-08-26,ripe,mntner:         serversf-mnt\nadmin-c:        IA6362-RIPE\nupd-to:         iphostmaster@serversfactory.com\nauth:           SSO\nmnt-by:         serversf-mnt\ncreated:        2020-08-26T11:38:50Z\nlast-modified:  2020-08-26T11:38:51Z\nsource:         RIPE
MAINT-MARACOLTD-KH,"MARA Co.,LTD",MCA6-AP,,,,2014-04-15,apnic,"mntner:         MAINT-MARACOLTD-KH\ndescr:          MARA Co.,LTD\ncountry:        KH\nadmin-c:        MCA6-AP\nupd-to:         nara@camglobalhost.net\nauth:           # Filtered\nmnt-by:         MAINT-MARACOLTD-KH\nreferral-by:    APNIC-HM\nlast-modified:  2014-04-15T01:04:29Z\nsource:         APNIC"
STIMCOMPUTING-MNT,Maintainer for objects of Visolit Norway AS,TC5073-RIPE,TC5074-RIPE,,2004-03-24,2025-07-09,ripe,mntner:         STIMCOMPUTING-MNT\ndescr:          Maintainer for objects of Visolit Norway AS\nadmin-c:        TC5073-RIPE\ntech-c:         TC5074-RIPE\nupd-to:         peering@telecomputing.no\nmnt-nfy:        peering@telecomputing.no\nauth:           SSO\nauth:           SSO\nauth:           SSO\nauth:           SSO\nauth:           SSO\nauth:           SSO\nmnt-by:         STIMCOMPUTING-MNT\ncreated:        2004-03-24T12:33:27Z\nlast-modified:  2025-07-09T10:53:31Z\nsource:         RIPE
CMC_IQ_MNTNER,,SA36808-RIPE,,,2016-08-28,2016-08-28,ripe,mntner:         cmc_iq_mntner\nadmin-c:        SA36808-RIPE\nupd-to:         smohammed@cmc.iq\nauth:           SSO\nmnt-by:         cmc_iq_mntner\ncreated:        2016-08-28T11:05:19Z\nlast-modified:  2016-08-28T11:05:19Z\nsource:         RIPE
MNT-NL-SIGIO-1,Startup maintainer,MJ83892-RIPE,MJ83892-RIPE,,2019-04-25,2019-04-25,ripe,mntner:         mnt-nl-sigio-1\ndescr:          Startup maintainer\nadmin-c:        MJ83892-RIPE\ntech-c:         MJ83892-RIPE\nupd-to:         info@sig-io.nl\nauth:           SSO\nmnt-by:         mnt-nl-sigio-1\ncreated:        2019-04-25T19:05:48Z\nlast-modified:  2019-04-25T19:05:48Z\nsource:         RIPE
MAINT-TWILIO-AU,Twilio Australia Pty Ltd,TAPL8-AP,,,,2019-12-19,apnic,mntner:         MAINT-TWILIO-AU\ndescr:          Twilio Australia Pty Ltd\ncountry:        AU\nadmin-c:        TAPL8-AP\nupd-to:         netabuse@twilio.com\nauth:           # Filtered\nmnt-by:         MAINT-TWILIO-AU\nreferral-by:    APNIC-HM\nlast-modified:  2019-12-19T20:40:03Z\nsource:         APNIC
MAINT-TH-SAMART,admin,PO28-AP,PO28-AP,,,2009-10-20,apnic,mntner:         MAINT-TH-SAMART\nupd-to:         potjamas@samart.co.th\nauth:           # Filtered\ndescr:          admin\nadmin-c:        PO28-AP\ntech-c:         PO28-AP\ncountry:        TH\nmnt-nfy:        manasri@samarts.com\nreferral-by:    APNIC-HM\nmnt-by:         MAINT-TH-SAMART\nremarks:        admin\nlast-modified:  2009-10-20T03:48:46Z\nsource:         APNIC
MNT-ESOTEL,ESOTEL-Rustelecom Ltd.,SIV80-RIPE,,,2007-12-07,2020-09-11,ripe,"mntner:         MNT-ESOTEL\ndescr:          ESOTEL-Rustelecom Ltd.\nadmin-c:        SIV80-RIPE\nupd-to:         workykt@gmail.com\nauth:           SSO\nremarks:        MD5 passwords older than November 2011 were removed from this maintainer, see: https://www.ripe.net/removed2011pw\nmnt-by:         MNT-ESOTEL\ncreated:        2007-12-07T16:11:33Z\nlast-modified:  2020-09-11T02:10:48Z\nsource:         RIPE"
MAINT-IN-ONPL,Opticom Networks Private Limited,NM1532-AP,,,,2018-10-05,apnic,mntner:         MAINT-IN-ONPL\ndescr:          Opticom Networks Private Limited\nadmin-c:        NM1532-AP\nupd-to:         inbox.optinet@gmail.com\nmnt-by:         MAINT-IN-ONPL\nauth:           # Filtered\nlast-modified:  2018-10-05T10:05:31Z\nsource:         APNIC
