id,name,address,street,city,state,postalcode,country,admin_id,tech_id,abuse_id,mnt_id,email,domain,created,updated,source,raw
C05429026,"WHGSU COLUMBIA, LLC DBA HOME TOWNE SUITES COLUMBIA",,350 COLUMBIANA DR,COLUMBIA,SC,29212-2252,US,,,,,,,2014-10-31,2014-10-31,arin,"OrgID:          C05429026\nOrgName:        WHGSU COLUMBIA, LLC DBA HOME TOWNE SUITES COLUMBIA\nCanAllocate:    \nStreet:         350 COLUMBIANA DR\nCity:           COLUMBIA\nState/Prov:     SC\nCountry:        US\nPostalCode:     29212-2252\nRegDate:        2014-10-31\nUpdated:        2014-10-31\nSource:         ARIN\n"
UNOPS-1,UNOPS,,405 Lexington Ave,New York,NY,10174,US,CKN23-ARIN,CKN23-ARIN,CKN23-ARIN,,,,2001-08-13,2011-09-24,arin,OrgID:          UNOPS-1\nOrgName:        UNOPS\nCanAllocate:    \nStreet:         405 Lexington Ave\nCity:           New York\nState/Prov:     NY\nCountry:        US\nPostalCode:     10174\nRegDate:        2001-08-13\nUpdated:        2011-09-24\nOrgAdminHandle: CKN23-ARIN\nOrgTechHandle:  CKN23-ARIN\nOrgAbuseHandle: CKN23-ARIN\nSource:         ARIN\n\n\nPOCHandle:      CKN23-ARIN\nIsRole:         N\nLastName:       No\nFirstName:      Contact\nStreet:         123 Main St\nCity:           Anytown\nState/Prov:     VA\nCountry:        US\nPostalCode:     20151\nRegDate:        2011-02-18\nUpdated:        2024-02-09\nOfficePhone:    +1-800-555-1234\nMailbox:        nobody@example.com\nSource:         ARIN\n
C09683943,Aventice,,USA,New York,NY,10001,US,,,,,,,2023-06-19,2023-06-19,arin,OrgID:          C09683943\nOrgName:        Aventice\nCanAllocate:    \nStreet:         USA\nCity:           New York\nState/Prov:     NY\nCountry:        US\nPostalCode:     10001\nRegDate:        2023-06-19\nUpdated:        2023-06-19\nSource:         ARIN\n
C02270379,FAMILY DOLLAR 5814-090707210037,,Private Address,Plano,TX,75075,US,,,,,,,2009-07-07,2018-07-19,arin,OrgID:          C02270379\nOrgName:        FAMILY DOLLAR 5814-090707210037\nCanAllocate:    \nStreet:         Private Address\nCity:           Plano\nState/Prov:     TX\nCountry:        US\nPostalCode:     75075\nRegDate:        2009-07-07\nUpdated:        2018-07-19\nSource:         ARIN\n
ORG-ESBA2-RIPE,Eugen Suchon Basic Art School,Zakladna umelecka skola Eugena Suchona\nBatkova 2\nBratislava\n841 01\nSlovakia,,,,,,,,SARP12-RIPE,SWDB-SANET,zusbatkovaba@gmail.com,bratislava.sk,2018-04-19,2018-04-19,ripe,organisation:   ORG-ESBA2-RIPE\norg-name:       Eugen Suchon Basic Art School\norg-type:       OTHER\nremarks:        http://zusesuchona.bratislava.sk/\nremarks:        ICO 36067211\naddress:        Zakladna umelecka skola Eugena Suchona\naddress:        Batkova 2\naddress:        Bratislava\naddress:        841 01\naddress:        Slovakia\nphone:          +421 2 64364387\nfax-no:         +421 2 64364387\ne-mail:         zusbatkovaba@gmail.com\nabuse-c:        SARP12-RIPE\nmnt-ref:        SWDB-SANET\nmnt-by:         SWDB-SANET\ncreated:        2018-04-19T13:10:29Z\nlast-modified:  2018-04-19T13:10:29Z\nsource:         RIPE\n\nrole:           SANET SAV PoP Abuse Role\naddress:        Vypoctove stredisko SAV\naddress:        Dubravska 9\naddress:        Bratislava\naddress:        842 35\naddress:        Slovak Republic\nphone:          +421 2 59307903\nfax-no:         +421 2 54777087\ne-mail:         abuse-sav@sanet.sk\nnic-hdl:        SARP12-RIPE\nnotify:         hostmaster@sanet.sk\nabuse-mailbox:  abuse-sav@sanet.sk\nmnt-by:         SWDB-SANET\ncreated:        2014-08-20T17:37:40Z\nlast-modified:  2014-08-20T17:37:40Z\nsource:         RIPE
WMLWT-16,"WARNER MEDIA, LLC WMG TURNER",,384 NORTHYARDS BLVD NW,ATL,GA,30313,US,TURNE799-ARIN,TURNE799-ARIN,TURNE799-ARIN,,,warnermediagroup.tech,2019-07-20,2019-07-20,arin,"OrgID:          WMLWT-16\nOrgName:        WARNER MEDIA, LLC WMG TURNER\nCanAllocate:    \nStreet:         384 NORTHYARDS BLVD NW\nCity:           ATL\nState/Prov:     GA\nCountry:        US\nPostalCode:     30313\nRegDate:        2019-07-20\nUpdated:        2019-07-20\nOrgAdminHandle: TURNE799-ARIN\nOrgTechHandle:  TURNE799-ARIN\nOrgAbuseHandle: TURNE799-ARIN\nSource:         ARIN\n\n\nPOCHandle:      TURNE799-ARIN\nIsRole:         N\nLastName:       Turner\nFirstName:      Kevin\nStreet:         6519 Fountain Ave\nCity:           LOS ANGELES\nState/Prov:     CA\nCountry:        US\nPostalCode:     90028-7824\nRegDate:        2019-07-20\nUpdated:        2019-07-20\nOfficePhone:    +1-818-954-5139\nMailbox:        kevin.turner@warnermediagroup.tech\nSource:         ARIN\n"
C07781052,ADCOM-ADCOM,,2900 Plano Pkwy,Plano,TX,75075,US,,,,,,,2021-02-25,2021-02-25,arin,OrgID:          C07781052\nOrgName:        ADCOM-ADCOM\nCanAllocate:    \nStreet:         2900 Plano Pkwy\nCity:           Plano\nState/Prov:     TX\nCountry:        US\nPostalCode:     75075\nRegDate:        2021-02-25\nUpdated:        2021-02-25\nSource:         ARIN\n
ORG-ONES1-RIPE,Open Networks Engineering SAS,30 rue Villeneuve\n92110\nCLICHY\nFRANCE,,,,,,AB34240-RIPE,,AR36107-RIPE\NAR36107-RIPE,RIPE-NCC-HM-MNT\NFR-ONE-1-MNT,rip@infogere.net,one.com,2016-04-15,2020-12-16,ripe,organisation:   ORG-ONES1-RIPE\norg-name:       Open Networks Engineering SAS\ncountry:        FR\norg-type:       LIR\naddress:        30 rue Villeneuve\naddress:        92110\naddress:        CLICHY\naddress:        FRANCE\nphone:          +33 146134444\ne-mail:         rip@infogere.net\nadmin-c:        AB34240-RIPE\ntech-c:         AB34239-RIPE\nabuse-c:        AR36107-RIPE\nmnt-ref:        fr-one-1-mnt\nmnt-by:         RIPE-NCC-HM-MNT\nmnt-by:         fr-one-1-mnt\nmnt-ref:        RIPE-NCC-HM-MNT\ncreated:        2016-04-15T13:11:27Z\nlast-modified:  2020-12-16T12:47:55Z\nsource:         RIPE\nabuse-email:    abuse@infogere.net\nabuse-c:        AR36107-RIPE\nabuse-org:      undefined\n\nperson:         Antoine Berthier\naddress:        30 rue Villeneuve\naddress:        92110\naddress:        CLICHY\naddress:        FRANCE\nphone:          +33 146134444\nnic-hdl:        AB34240-RIPE\nmnt-by:         fr-one-1-mnt\ncreated:        2016-04-15T13:11:26Z\nlast-modified:  2016-04-15T13:11:26Z\nsource:         RIPE\n\nrole:           Abuse-C Role\naddress:        30 rue Villeneuve\naddress:        92110\naddress:        CLICHY\naddress:        FRANCE\ne-mail:         abuse@infogere.net\nnic-hdl:        AR36107-RIPE\nabuse-mailbox:  abuse@infogere.net\nmnt-by:         fr-one-1-mnt\ncreated:        2016-04-15T13:11:26Z\nlast-modified:  2016-04-15T13:11:26Z\nsource:         RIPE
ORG-KOMA2-RIPE,Kyl och Maskin AB,Skogslundsvagen 4\n62153 VISBY\nSE,,,,,,HB7077-RIPE,,,TELIANET-LIR,hakan@kyl-maskin.se,kyl-maskin.se,2019-06-26,2019-06-26,ripe,organisation:   ORG-KOMA2-RIPE\norg-name:       Kyl och Maskin AB\norg-type:       OTHER\ndescr:          Vitvaror\naddress:        Skogslundsvagen 4\naddress:        62153 VISBY\naddress:        SE\nphone:          +46705399579\ne-mail:         hakan@kyl-maskin.se\nadmin-c:        HB7077-RIPE\ntech-c:         HB7077-RIPE\nref-nfy:        mntripe@telia.net\nnotify:         mntripe@telia.net\nmnt-by:         TELIANET-LIR\nmnt-ref:        TELIANET-LIR\ncreated:        2019-06-26T15:02:33Z\nlast-modified:  2019-06-26T15:02:33Z\nsource:         RIPE\n\nperson:         Hakan Berg\naddress:        Kyl och Maskin AB\naddress:        Skogslundsvagen 4\naddress:        62153 VISBY\naddress:        SE\nphone:          +46705399579\ne-mail:         hakan@kyl-maskin.se\nnic-hdl:        HB7077-RIPE\nnotify:         mntripe@telia.net\ncreated:        2019-06-26T15:02:33Z\nlast-modified:  2019-06-26T15:02:33Z\nmnt-by:         TELIANET-LIR\nsource:         RIPE
C07340979,HOBOKENS CHOOL EFCU,,522 ADAMS ST,HOBOKEN,NJ,07030,US,,,,,,,2019-05-02,2019-05-02,arin,OrgID:          C07340979\nOrgName:        HOBOKENS CHOOL EFCU\nCanAllocate:    \nStreet:         522 ADAMS ST\nCity:           HOBOKEN\nState/Prov:     NJ\nCountry:        US\nPostalCode:     07030\nRegDate:        2019-05-02\nUpdated:        2019-05-02\nSource:         ARIN\n
C02077726,Autonation,,16800 NW 57TH AVE # 1,HIALEAH,FL,33015-4328,US,,,,,,autonation.com,2008-10-28,2011-03-19,arin,OrgID:          C02077726\nOrgName:        Autonation\nCanAllocate:    \nStreet:         16800 NW 57TH AVE # 1\nCity:           HIALEAH\nState/Prov:     FL\nCountry:        US\nPostalCode:     33015-4328\nRegDate:        2008-10-28\nUpdated:        2011-03-19\nSource:         ARIN\n
GCIT-114,GTT COMMUNICATIONS INC-DELL T,,2703 E RUBEN M TORRES SR BLVD,BROWNSVILLE,TX,78526,US,OPSEB16934-ARIN,OPSEB16934-ARIN,OPSEB16934-ARIN,,,gtt.net,2018-10-17,2018-10-17,arin,OrgID:          GCIT-114\nOrgName:        GTT COMMUNICATIONS INC-DELL T\nCanAllocate:    \nStreet:         2703 E RUBEN M TORRES SR BLVD\nCity:           BROWNSVILLE\nState/Prov:     TX\nCountry:        US\nPostalCode:     78526\nRegDate:        2018-10-17\nUpdated:        2018-10-17\nOrgAdminHandle: OPSEB16934-ARIN\nOrgTechHandle:  OPSEB16934-ARIN\nOrgAbuseHandle: OPSEB16934-ARIN\nSource:         ARIN\n\n\nPOCHandle:      OPSEB16934-ARIN\nIsRole:         N\nLastName:       Ops\nFirstName:      EBM\nStreet:         2900 W PLANO PKWY\nCity:           PLANO\nState/Prov:     TX\nCountry:        US\nPostalCode:     75075\nRegDate:        2018-10-17\nUpdated:        2018-10-17\nOfficePhone:    +1-855-277-8686\nMailbox:        dl-opspod4@att.com\nSource:         ARIN\n
C04989575,Therapeutix Mind and Body,,2348 Keisel Ave,Ogden,UT,84401,US,,,,,,,2014-04-15,2014-04-15,arin,OrgID:          C04989575\nOrgName:        Therapeutix Mind and Body\nCanAllocate:    \nStreet:         2348 Keisel Ave\nCity:           Ogden\nState/Prov:     UT\nCountry:        US\nPostalCode:     84401\nRegDate:        2014-04-15\nUpdated:        2014-04-15\nSource:         ARIN\n
C11016144,Sympatico HSE,,31 Finch Avenue East Basement,Toronto,ON,M2N 4P9,CA,,,,,,,2024-11-14,2024-11-14,arin,OrgID:          C11016144\nOrgName:        Sympatico HSE\nCanAllocate:    \nStreet:         31 Finch Avenue East Basement\nCity:           Toronto\nState/Prov:     ON\nCountry:        CA\nPostalCode:     M2N 4P9\nComment:        For Abuse issues contact our abuse groups\nRegDate:        2024-11-14\nUpdated:        2024-11-14\nSource:         ARIN\n
C07864687,DYNALINK COMMUNICATIONS INC-W,,2052 STATE ROUTE 53,FREMONT,OH,43420,US,,,,,,dynalink.com,2021-04-21,2021-04-21,arin,OrgID:          C07864687\nOrgName:        DYNALINK COMMUNICATIONS INC-W\nCanAllocate:    \nStreet:         2052 STATE ROUTE 53\nCity:           FREMONT\nState/Prov:     OH\nCountry:        US\nPostalCode:     43420\nRegDate:        2021-04-21\nUpdated:        2021-04-21\nSource:         ARIN\n
C00586325,NetSynergy Center,,6185 Paseo Del Norte,Carlsbad,CA,92009,US,,,,,,,2000-06-26,2011-03-19,arin,OrgID:          C00586325\nOrgName:        NetSynergy Center\nCanAllocate:    \nStreet:         6185 Paseo Del Norte\nCity:           Carlsbad\nState/Prov:     CA\nCountry:        US\nPostalCode:     92009\nRegDate:        2000-06-26\nUpdated:        2011-03-19\nSource:         ARIN\n
C10961971,OMNI HOTELS AND RESORTS,,2611 NORDIC WAY,EAGAN,MN,55121,US,,,,,,omnihotels.com,2024-09-19,2024-09-19,arin,OrgID:          C10961971\nOrgName:        ACC-OMNI HOTELS AND RESORTS\nCanAllocate:    \nStreet:         2611 NORDIC WAY\nCity:           EAGAN\nState/Prov:     MN\nCountry:        US\nPostalCode:     55121\nRegDate:        2024-09-19\nUpdated:        2024-09-19\nSource:         ARIN\n
C04888611,"LATHAM & WATKINS, LLP (C02867870)",,555 West 5th ST Suite 800,LOS ANGELES,CA,90013,US,,,,,,,2014-03-06,2014-03-06,arin,"OrgID:          C04888611\nOrgName:        LATHAM & WATKINS, LLP (C02867870)\nCanAllocate:    \nStreet:         555 West 5th ST Suite 800\nCity:           LOS ANGELES\nState/Prov:     CA\nCountry:        US\nPostalCode:     90013\nRegDate:        2014-03-06\nUpdated:        2014-03-06\nSource:         ARIN\n"
C09798236,AIRESPRING-SHADY LANE INC,,2900 W PLANO PKWY,PLANO,TX,75075,US,,,,,,,2023-07-11,2023-07-11,arin,OrgID:          C09798236\nOrgName:        AIRESPRING-SHADY LANE INC\nCanAllocate:    \nStreet:         2900 W PLANO PKWY\nCity:           PLANO\nState/Prov:     TX\nCountry:        US\nPostalCode:     75075\nRegDate:        2023-07-11\nUpdated:        2023-07-11\nSource:         ARIN\n
C10243554,Private Customer - AT&T Internet Services,,Private Residence,Richardson,TX,75082,US,,,,,,,2023-10-05,2023-10-05,arin,OrgID:          C10243554\nOrgName:        Private Customer - AT&T Internet Services\nCanAllocate:    \nStreet:         Private Residence\nCity:           Richardson\nState/Prov:     TX\nCountry:        US\nPostalCode:     75082\nRegDate:        2023-10-05\nUpdated:        2023-10-05\nSource:         ARIN\n
C08608496,BAPTIST HEALTH - 161 LEXINGTON GREEN 20MB MPLS,,161  LEXINGTON GREEN CIR,LEXINGTON,KY,40503-3320,US,,,,,,,2022-06-13,2022-06-13,arin,OrgID:          C08608496\nOrgName:        BAPTIST HEALTH - 161 LEXINGTON GREEN 20MB MPLS\nCanAllocate:    \nStreet:         161  LEXINGTON GREEN CIR\nCity:           LEXINGTON\nState/Prov:     KY\nCountry:        US\nPostalCode:     40503-3320\nRegDate:        2022-06-13\nUpdated:        2022-06-13\nSource:         ARIN\n
C06836287,THE MEDICINE SHOPPE,,3796 HOWELL BRANCH RD,WINTER PARK,FL,32792,US,,,,,,,2017-11-28,2017-11-28,arin,OrgID:          C06836287\nOrgName:        THE MEDICINE SHOPPE\nCanAllocate:    \nStreet:         3796 HOWELL BRANCH RD\nCity:           WINTER PARK\nState/Prov:     FL\nCountry:        US\nPostalCode:     32792\nRegDate:        2017-11-28\nUpdated:        2017-11-28\nSource:         ARIN\n
UDEOSTI,US Dept of Energy Office of Scientific and Technical Information,,1 Science.gov way,Oakridge,TN,37821,US,ATA16-ARIN,ATA16-ARIN,ATA16-ARIN,,,osti.gov,2004-06-08,2011-09-24,arin,OrgID:          UDEOSTI\nOrgName:        US Dept of Energy Office of Scientific and Technical Information\nCanAllocate:    \nStreet:         1 Science.gov way\nCity:           Oakridge\nState/Prov:     TN\nCountry:        US\nPostalCode:     37821\nRegDate:        2004-06-08\nUpdated:        2011-09-24\nOrgAdminHandle: ATA16-ARIN\nOrgTechHandle:  ATA16-ARIN\nOrgAbuseHandle: ATA16-ARIN\nSource:         ARIN\n\n\nPOCHandle:      ATA16-ARIN\nIsRole:         N\nLastName:       Tackett\nFirstName:      Alan\nStreet:         1 Science.Gov Way\nCity:           Oakridge\nState/Prov:     TN\nCountry:        US\nPostalCode:     37831\nRegDate:        2004-06-08\nUpdated:        2017-12-27\nOfficePhone:    +1-865-576-1140\nMailbox:        Tacketta@osti.gov\nSource:         ARIN\n
C08087924,KAISER TRANSPORT INC,,13729 ROSECRANS AVE,SANTA FE SPRINGS,CA,90670,US,,,,,,kaisertransport.com,2021-11-03,2021-11-03,arin,OrgID:          C08087924\nOrgName:        KAISER TRANSPORT INC\nCanAllocate:    \nStreet:         13729 ROSECRANS AVE\nCity:           SANTA FE SPRINGS\nState/Prov:     CA\nCountry:        US\nPostalCode:     90670\nRegDate:        2021-11-03\nUpdated:        2021-11-03\nSource:         ARIN\n
C01763797,MASELLI BROTHERS-071025194059,,Private Address,Plano,TX,75075,US,,,,,,,2007-10-25,2018-07-19,arin,OrgID:          C01763797\nOrgName:        MASELLI BROTHERS-071025194059\nCanAllocate:    \nStreet:         Private Address\nCity:           Plano\nState/Prov:     TX\nCountry:        US\nPostalCode:     75075\nRegDate:        2007-10-25\nUpdated:        2018-07-19\nSource:         ARIN\n
C10866477,DENTAL EXCELLENCE OF DELTA,,101 ADRIAN ST,DELTA,OH,43515,US,,,,,,,2024-06-06,2024-06-06,arin,OrgID:          C10866477\nOrgName:        DENTAL EXCELLENCE OF DELTA\nCanAllocate:    \nStreet:         101 ADRIAN ST\nCity:           DELTA\nState/Prov:     OH\nCountry:        US\nPostalCode:     43515\nRegDate:        2024-06-06\nUpdated:        2024-06-06\nSource:         ARIN\n
C01169805,Varnado High School Project Katrina,,2701 W. 15th St.\nPMB 236,Plano,TX,75075,US,,,,,,,2005-09-06,2018-07-19,arin,OrgID:          C01169805\nOrgName:        Varnado High School Project Katrina\nCanAllocate:    \nStreet:         2701 W. 15th St.\nStreet:         PMB 236\nCity:           Plano\nState/Prov:     TX\nCountry:        US\nPostalCode:     75075\nRegDate:        2005-09-06\nUpdated:        2018-07-19\nSource:         ARIN\n
C08931724,Private Customer - AT&T Internet Services,,Private Residence,Richardson,TX,75082,US,,,,,,,2022-10-05,2022-10-05,arin,OrgID:          C08931724\nOrgName:        Private Customer - AT&T Internet Services\nCanAllocate:    \nStreet:         Private Residence\nCity:           Richardson\nState/Prov:     TX\nCountry:        US\nPostalCode:     75082\nRegDate:        2022-10-05\nUpdated:        2022-10-05\nSource:         ARIN\n
C07991055,CARDINAL GLASS,,600 AFG RD,CHURCH HILL,TN,37642,US,,,,,,cardinalcorp.com,2021-08-11,2021-08-11,arin,OrgID:          C07991055\nOrgName:        CARDINAL GLASS\nCanAllocate:    \nStreet:         600 AFG RD\nCity:           CHURCH HILL\nState/Prov:     TN\nCountry:        US\nPostalCode:     37642\nRegDate:        2021-08-11\nUpdated:        2021-08-11\nSource:         ARIN\n
C05642069,Private Customer,,Private Residence,Ashburn,VA,20147,US,,,,,,smitsepopcegof.tk,2015-03-06,2015-03-06,arin,OrgID:          C05642069\nOrgName:        Private Customer\nCanAllocate:    \nStreet:         Private Residence\nCity:           Ashburn\nState/Prov:     VA\nCountry:        US\nPostalCode:     20147\nComment:        created by rirCallout v1.07 for NET-64-74-0-0-1\nRegDate:        2015-03-06\nUpdated:        2015-03-06\nSource:         ARIN\n
C00008242,REDCOAT PLYMOUTH CHRY,,1627 FIRST AVE N.E.,WEYBURN,SK,S4H 3E8,CA,,,,,,,1996-05-17,2011-03-19,arin,OrgID:          C00008242\nOrgName:        REDCOAT PLYMOUTH CHRY\nCanAllocate:    \nStreet:         1627 FIRST AVE N.E.\nCity:           WEYBURN\nState/Prov:     SK\nCountry:        CA\nPostalCode:     S4H 3E8\nRegDate:        1996-05-17\nUpdated:        2011-03-19\nSource:         ARIN\n
C11252499,1031503 - HESPERIA MI A,,196 S DIVISION ST,HESPERIA,MI,49421,US,,,,,,,2025-06-24,2025-06-24,arin,OrgID:          C11252499\nOrgName:        1031503 - HESPERIA MI A\nCanAllocate:    \nStreet:         196 S DIVISION ST\nCity:           HESPERIA\nState/Prov:     MI\nCountry:        US\nPostalCode:     49421\nRegDate:        2025-06-24\nUpdated:        2025-06-24\nSource:         ARIN\n
C00253629,Edward J Witczak,,268 Bush St,San Francisco,CA,94104,US,,,,,,,2001-12-15,2018-07-19,arin,OrgID:          C00253629\nOrgName:        Edward J Witczak\nCanAllocate:    \nStreet:         268 Bush St\nCity:           San Francisco\nState/Prov:     CA\nCountry:        US\nPostalCode:     94104\nRegDate:        2001-12-15\nUpdated:        2018-07-19\nSource:         ARIN\n
C00934156,AMVETS THRIFT STORE-041020004108,,Private Address,Plano,TX,75075,US,,,,,,amvets.org,2004-10-20,2018-07-19,arin,OrgID:          C00934156\nOrgName:        AMVETS THRIFT STORE-041020004108\nCanAllocate:    \nStreet:         Private Address\nCity:           Plano\nState/Prov:     TX\nCountry:        US\nPostalCode:     75075\nRegDate:        2004-10-20\nUpdated:        2018-07-19\nSource:         ARIN\n
C08797340,Private Customer - AT&T Internet Services,,Private Residence,Richardson,TX,75082,US,,,,,,,2022-08-05,2022-08-05,arin,OrgID:          C08797340\nOrgName:        Private Customer - AT&T Internet Services\nCanAllocate:    \nStreet:         Private Residence\nCity:           Richardson\nState/Prov:     TX\nCountry:        US\nPostalCode:     75082\nRegDate:        2022-08-05\nUpdated:        2022-08-05\nSource:         ARIN\n
