id,name,mobilephone,officephone,fax,address,country,email,abuse_email,created,updated,source,raw
GA225-ARIN,Gonzalo Araujo,,+58 2 9053560,,"NATURES SUNSHINE PRODUCTS.\nAv Ppal EL Bosque, Chacaito Torre Credicard, Piso 11.\nCaracas., Distrito Federal.",VE,Gonzaloa@TRUEVISION.NET,Gonzaloa@TRUEVISION.NET,,,arin-historic,"nic-hdl:     GA225-ARIN\nperson:      Gonzalo Araujo\ne-mail:      Gonzaloa@TRUEVISION.NET\naddress:     NATURES SUNSHINE PRODUCTS.\naddress:     Av Ppal EL Bosque, Chacaito Torre Credicard, Piso 11.\naddress:     Caracas., Distrito Federal.\ncountry:     VE\nphone:       +58 2 9053560\nsource:      ARIN-HISTORIC"
MC1084-ARIN,Manuel Calderon,,+58 42 618890,,"EDUARDO ROMER.\nAv Puerto Cabello, Edificio Grupo Romer, PB Oficina.\nPuerto Cabello., Carabobo.",VE,Mcalderon@CANTV.NET,Mcalderon@CANTV.NET,,,arin-historic,"nic-hdl:     MC1084-ARIN\nperson:      Manuel Calderon\ne-mail:      Mcalderon@CANTV.NET\naddress:     EDUARDO ROMER.\naddress:     Av Puerto Cabello, Edificio Grupo Romer, PB Oficina.\naddress:     Puerto Cabello., Carabobo.\ncountry:     VE\nphone:       +58 42 618890\nsource:      ARIN-HISTORIC"
AM839-ARIN,Alberto Montalvo,,+58 44 632311,,"BASF VENEZOLANA.\nAv Principal Zona Industrial Guere,Planta Basf Venezolana,PB.\nTurmero., Aragua.",VE,labert.montalvo@BASF-VEN.COM.VE,labert.montalvo@BASF-VEN.COM.VE,,,arin-historic,"nic-hdl:     AM839-ARIN\nperson:      Alberto Montalvo\ne-mail:      labert.montalvo@BASF-VEN.COM.VE\naddress:     BASF VENEZOLANA.\naddress:     Av Principal Zona Industrial Guere,Planta Basf Venezolana,PB.\naddress:     Turmero., Aragua.\ncountry:     VE\nphone:       +58 44 632311\nsource:      ARIN-HISTORIC"
DC1139-ARIN,DANIEL CONTRERAS,,+5816 4450854,,"DYK COMPUTER.\nCALLE PIAR,CRUCE CON AREVALO GONZALEZ,CC GUACARA PLAZA,PB,LOCAL\nValencia., Carabobo.",VE,,,,,arin-historic,"nic-hdl:     DC1139-ARIN\nperson:      DANIEL CONTRERAS\ne-mail:      \naddress:     DYK COMPUTER.\naddress:     CALLE PIAR,CRUCE CON AREVALO GONZALEZ,CC GUACARA PLAZA,PB,LOCAL\naddress:     Valencia., Carabobo.\ncountry:     VE\nphone:       +5816 4450854\nsource:      ARIN-HISTORIC"
AF4-ARIN,Alfonso Falcony,,+593-2-540238,,UNISYSdata S.A.\nP.O. BOX 17-07-9178\nQuito,EC,afalcony@UNISYS.COM.EC,afalcony@UNISYS.COM.EC,,,arin-historic,nic-hdl:     AF4-ARIN\nperson:      Alfonso Falcony\ne-mail:      afalcony@UNISYS.COM.EC\naddress:     UNISYSdata S.A.\naddress:     P.O. BOX 17-07-9178\naddress:     Quito\ncountry:     EC\nphone:       +593-2-540238\nsource:      ARIN-HISTORIC
DIS10-ARIN,Danilo Ing. Sanchez,,+593-2-690991,,"Estacion Experimental Santa Catalina-INIAP\nP.O. Box 340\nQuito,",EC,dsanchez@INIAPSC.GOV.EC,dsanchez@INIAPSC.GOV.EC,,,arin-historic,"nic-hdl:     DIS10-ARIN\nperson:      Danilo Ing. Sanchez\ne-mail:      dsanchez@INIAPSC.GOV.EC\naddress:     Estacion Experimental Santa Catalina-INIAP\naddress:     P.O. Box 340\naddress:     Quito,\ncountry:     EC\nphone:       +593-2-690991\nsource:      ARIN-HISTORIC"
FIG-ARIN,Fernando Ing. Garcia,,+593-4-402840,,"Jaboneria Nacional S.A.\nCasilla No. 189\nGuayaquil,",EC,,,,,arin-historic,"nic-hdl:     FIG-ARIN\nperson:      Fernando Ing. Garcia\ne-mail:      \naddress:     Jaboneria Nacional S.A.\naddress:     Casilla No. 189\naddress:     Guayaquil,\ncountry:     EC\nphone:       +593-4-402840\nsource:      ARIN-HISTORIC"
IH24-ARIN,Ida Holz,,+598 2-415843,,Servicio Central de Informatica\,UY,holz@seciu.uy,holz@seciu.uy,,,arin-historic,"nic-hdl:     IH24-ARIN\nperson:      Ida Holz\ne-mail:      holz@seciu.uy\naddress:     Servicio Central de Informatica\\nColonia 2066, C.P. 11200\\nMontevideo\ncountry:     UY\nphone:       +598 2-415843\nsource:      ARIN-HISTORIC"
GENERATED-KRNIC-IP-MANAGER-SYLEOJUNG,IP Manager,,+82-02-6440-6158,,,KR,sy_leo.jung@samsung.com,sy_leo.jung@samsung.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-SYLEOJUNG\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-02-6440-6158\ne-mail:             sy_leo.jung@samsung.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-HELPJDISK,IP Manager,,+82-2-1522-9576,,,KR,help.jdisk@gmail.com,help.jdisk@gmail.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-HELPJDISK\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-1522-9576\ne-mail:             help.jdisk@gmail.com\nsource:             KRNIC\n
IM3395-KR,IP Manager,,+82-2-1588-3884,,Seoul Jongno-gu Jong-ro 14\n8F,KR,ksure_it@ksure.or.kr,ksure_it@ksure.or.kr,,,krnic,person:         IP Manager\naddress:        Seoul Jongno-gu Jong-ro 14\naddress:        8F\ncountry:        KR\nphone:          +82-2-1588-3884\ne-mail:         ksure_it@ksure.or.kr\nnic-hdl:        IM3395-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr\nsource:         KRNIC
GENERATED-KRNIC-IP-MANAGER-WEBSITE,IP Manager,,+82-2-1588-5241,,,KR,website@website.co.kr,website@website.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-WEBSITE\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-1588-5241\ne-mail:             website@website.co.kr\nsource:             KRNIC\n
TK128-KR,IP Manager,,+82-2-1588-5829,,"Gyeonggi-do Bundang-gu, Seongnam-si Seongnam-daero 925beon-gil 37\n37 2F",KR,hosting@inames.co.kr,hosting@inames.co.kr,,,krnic,"person:         IP Manager\naddress:        Gyeonggi-do Bundang-gu, Seongnam-si Seongnam-daero 925beon-gil 37\naddress:        37 2F\ncountry:        KR\nphone:          +82-2-1588-5829\ne-mail:         hosting@inames.co.kr\nnic-hdl:        TK128-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr\nsource:         KRNIC"
GENERATED-KRNIC-IP-MANAGER-EDUME,IP Manager,,+82-2-1588-7555,,,KR,edume@icross.co.kr,edume@icross.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-EDUME\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-1588-7555\ne-mail:             edume@icross.co.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-DSCHUNG,IP Manager,,+82-2-1588-7555,,,KR,ds.chung@polymirae.com,ds.chung@polymirae.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-DSCHUNG\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-1588-7555\ne-mail:             ds.chung@polymirae.com\nsource:             KRNIC\n
IM3736-KR,IP Manager,,+82-2-1599-4905,,Seoul Gangnam-gu Teheran-ro\nARC Place 12F,KR,core-network@toss.im,core-network@toss.im,,,krnic,person:         IP Manager\naddress:        Seoul Gangnam-gu Teheran-ro\naddress:        ARC Place 12F\ncountry:        KR\nphone:          +82-2-1599-4905\ne-mail:         core-network@toss.im\nnic-hdl:        IM3736-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr\nsource:         KRNIC
GENERATED-KRNIC-IP-MANAGER-PASS1999,IP Manager,,+82-2-2001-5423,,,KR,pass1999@eduhansol.co.kr,pass1999@eduhansol.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-PASS1999\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-2001-5423\ne-mail:             pass1999@eduhansol.co.kr\nsource:             KRNIC\n
YL107-KR,AS Manager,,+82-2-2004-9678,,Seoul Yeongdeungpo-gu Gukjegeumyung-ro 8-gil 16\n(Yeouidodong),KR,yeo.sung-ah@shinyoung.com,yeo.sung-ah@shinyoung.com,,,krnic,"person:         AS Manager\naddress:        Seoul Yeongdeungpo-gu Gukjegeumyung-ro 8-gil 16\naddress:        (Yeouidodong)\ncountry:        KR\nphone:          +82-2-2004-9678\ne-mail:         yeo.sung-ah@shinyoung.com\nnic-hdl:        YL107-KR\nmnt-by:         MNT-KRNIC-AP\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
IM3117-KR,IP Manager,,+82-2-2015-9074,,Seoul Gangnam-gu Bongeunsa-ro 435\nKTOA building Samsung-dong,KR,allen@ktoa.or.kr,allen@ktoa.or.kr,,,krnic,"person:         IP Manager\naddress:        Seoul Gangnam-gu Bongeunsa-ro 435\naddress:        KTOA building Samsung-dong\ncountry:        KR\nphone:          +82-2-2015-9074\ne-mail:         allen@ktoa.or.kr\nnic-hdl:        IM3117-KR\nmnt-by:         MNT-KRNIC-AP\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC"
GENERATED-KRNIC-IP-MANAGER-DWOOJT,IP Manager,,+82-2-2086-2930,,,KR,dwoojt@lguplus.co.kr,dwoojt@lguplus.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-DWOOJT\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-2086-2930\ne-mail:             dwoojt@lguplus.co.kr\nsource:             KRNIC\n
225-KR,AS Manager,,+82-2-2122-5551,,"7 Saechang-ro, Mapo-gu, Seoul\n6,7,8 floor",KR,whitezero78@nicetcm.co.kr,whitezero78@nicetcm.co.kr,,,krnic,"person:         AS Manager\naddress:        7 Saechang-ro, Mapo-gu, Seoul\naddress:        6,7,8 floor\ncountry:        KR\nphone:          +82-2-2122-5551\ne-mail:         whitezero78@nicetcm.co.kr\nnic-hdl:        225-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr 20240912\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
GENERATED-KRNIC-IP-MANAGER-FORMFUL,IP Manager,,+82-2-2187-6738,,,KR,formful@ditco.com,formful@ditco.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-FORMFUL\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-2187-6738\ne-mail:             formful@ditco.com\nsource:             KRNIC\n
IM5986-KR,AS Manager,,+82-2-2228-1156,,Seoul Seodaemun-gu Yonsei-ro\nYONSEI UNIVERSITY HEALTH SYSTEM,KR,kimkh84@yuhs.ac,kimkh84@yuhs.ac,,,krnic,"person:         AS Manager\naddress:        Seoul Seodaemun-gu Yonsei-ro\naddress:        YONSEI UNIVERSITY HEALTH SYSTEM\ncountry:        KR\nphone:          +82-2-2228-1156\ne-mail:         kimkh84@yuhs.ac\nnic-hdl:        IM5986-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr 20240912\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
GENERATED-KRNIC-IP-MANAGER-A30056831,IP Manager,,+82-2-2630-5751,,,KR,a30056831@hanafos.com,a30056831@hanafos.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-A30056831\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-2630-5751\ne-mail:             a30056831@hanafos.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-BARKINSUNG,IP Manager,,+82-2-2652-1076,,,KR,barkinsung@skylifetv.co.kr,barkinsung@skylifetv.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-BARKINSUNG\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-2652-1076\ne-mail:             barkinsung@skylifetv.co.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-SIWIE,IP Manager,,+82-2-3015-5818,,,KR,siwie@sknetworks.co.kr,siwie@sknetworks.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-SIWIE\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-3015-5818\ne-mail:             siwie@sknetworks.co.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-IDCADMIN,IP Manager,,+82-2-3397-1387,,,KR,idcadmin@shinsegae.com,idcadmin@shinsegae.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-IDCADMIN\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-3397-1387\ne-mail:             idcadmin@shinsegae.com\nsource:             KRNIC
PS2522-KR,AS Manager,,+82-2-3397-1387,,"231 Teheran-ro, Gangnam-gu, Seoul\n24 floor",KR,firewall@shinsegae.com,firewall@shinsegae.com,,,krnic,"person:         AS Manager\naddress:        231 Teheran-ro, Gangnam-gu, Seoul\naddress:        24 floor\ncountry:        KR\nphone:          +82-2-3397-1387\ne-mail:         firewall@shinsegae.com\nnic-hdl:        PS2522-KR\nmnt-by:         MNT-KRNIC-AP\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
GENERATED-KRNIC-IP-MANAGER-WOMANJIB,IP Manager,,+82-2-3409-1980,,,KR,womanjib@hanmail.net,womanjib@hanmail.net,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-WOMANJIB\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-3409-1980\ne-mail:             womanjib@hanmail.net\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-POZMINO,IP Manager,,+82-2-3415-4983,,,KR,pozmino@sk.com,pozmino@sk.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-POZMINO\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-3415-4983\ne-mail:             pozmino@sk.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-JACKJO,IP Manager,,+82-2-3438-1535,,,KR,jack.jo@windriver.com,jack.jo@windriver.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-JACKJO\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-3438-1535\ne-mail:             jack.jo@windriver.com\nsource:             KRNIC\n
IM3435-KR,IP Manager,,+82-2-3464-1974,,Seoul Seocho-gu Heolleung-ro\nHYUNDAI MOTORS,KR,hcloud.net@hyundai.com,hcloud.net@hyundai.com,,,krnic,person:         IP Manager\naddress:        Seoul Seocho-gu Heolleung-ro\naddress:        HYUNDAI MOTORS\ncountry:        KR\nphone:          +82-2-3464-1974\ne-mail:         hcloud.net@hyundai.com\nnic-hdl:        IM3435-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr\nsource:         KRNIC
GENERATED-KRNIC-IP-MANAGER-PARKSH,IP Manager,,+82-2-3465-8817,,,KR,parksh@bmwhandok.co.kr,parksh@bmwhandok.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-PARKSH\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-3465-8817\ne-mail:             parksh@bmwhandok.co.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-DONGKYU626,IP Manager,,+82-2-3479-1818,,,KR,dongkyu6262.lee@samsung.com,dongkyu6262.lee@samsung.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-DONGKYU626\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-3479-1818\ne-mail:             dongkyu6262.lee@samsung.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-DYLEE,IP Manager,,+82-2-3479-7871,,,KR,dy.lee@barunlaw.co.kr,dy.lee@barunlaw.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-DYLEE\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-3479-7871\ne-mail:             dy.lee@barunlaw.co.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-STPARK,IP Manager,,+82-2-3480-0184,,,KR,stpark@kimi.co.kr,stpark@kimi.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-STPARK\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-3480-0184\ne-mail:             stpark@kimi.co.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-ANDYYEO,IP Manager,,+82-2-3676-7100,,,KR,andy-yeo@isaccholdings.com,andy-yeo@isaccholdings.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-ANDYYEO\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-3676-7100\ne-mail:             andy-yeo@isaccholdings.com\nsource:             KRNIC\n
TK88-KR,AS Manager,,+82-2-369-3870,,Seoul Yeongdeungpo-gu Gukjegeumyung-ro 8-gil 32\nDongbu  Financial Investment Bldg.,KR,jacob73@db-fi.com,jacob73@db-fi.com,,,krnic,"person:         AS Manager\naddress:        Seoul Yeongdeungpo-gu Gukjegeumyung-ro 8-gil 32\naddress:        Dongbu  Financial Investment Bldg.\ncountry:        KR\nphone:          +82-2-369-3870\ne-mail:         jacob73@db-fi.com\nnic-hdl:        TK88-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr 20240912\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
GENERATED-KRNIC-IP-MANAGER-LEEJH,IP Manager,,+82-2-3786-1736,,,KR,leejh@ofmi.co.kr,leejh@ofmi.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-LEEJH\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-3786-1736\ne-mail:             leejh@ofmi.co.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-SUNSUNG,IP Manager,,+82-2-394-1149,,,KR,sunsung@itkc.or.kr,sunsung@itkc.or.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-SUNSUNG\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-394-1149\ne-mail:             sunsung@itkc.or.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-CHARLESSHI,IP Manager,,+82-2-397-8470,,,KR,charles.shin@clsa.com,charles.shin@clsa.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-CHARLESSHI\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-397-8470\ne-mail:             charles.shin@clsa.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-CHOB,IP Manager,,+82-2-509-0316,,,KR,chob@samsung.co.kr,chob@samsung.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-CHOB\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-509-0316\ne-mail:             chob@samsung.co.kr\nsource:             KRNIC\n
JP154-KR,IP Manager,,+82-2-509-3156,,Seoul Jongno-gu Jong-ro 33-gil\nYunKang Buld.,KR,lifman@metanet.co.kr,lifman@metanet.co.kr,,,krnic,person:         IP Manager\naddress:        Seoul Jongno-gu Jong-ro 33-gil\naddress:        YunKang Buld.\ncountry:        KR\nphone:          +82-2-509-3156\ne-mail:         lifman@metanet.co.kr\nnic-hdl:        JP154-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr\nsource:         KRNIC
GENERATED-KRNIC-IP-MANAGER-SUNGHOSKIM,IP Manager,,+82-2-5090-0174,,,KR,sunghos.kim@samsung.com,sunghos.kim@samsung.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-SUNGHOSKIM\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-5090-0174\ne-mail:             sunghos.kim@samsung.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-INSOOBOK,IP Manager,,+82-2-5495-2594,,,KR,insoobok@gmail.com,insoobok@gmail.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-INSOOBOK\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-5495-2594\ne-mail:             insoobok@gmail.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-DOUGLASHWA,IP Manager,,+82-2-551-2021,,,KR,douglas.hwang@samsung.com,douglas.hwang@samsung.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-DOUGLASHWA\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-551-2021\ne-mail:             douglas.hwang@samsung.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-GOGO,IP Manager,,+82-2-555-3316,,,KR,gogo_@webspread.co.kr,gogo_@webspread.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-GOGO\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-555-3316\ne-mail:             gogo_@webspread.co.kr\nsource:             KRNIC\n
JN1361-KR,IP Manager,,+82-2-6233-5393,,Gangwon-do Chuncheon-si Beodeul 1-gil\nDOUZONE,KR,76mutuli@douzone.com,76mutuli@douzone.com,,,krnic,person:         IP Manager\naddress:        Gangwon-do Chuncheon-si Beodeul 1-gil\naddress:        DOUZONE\ncountry:        KR\nphone:          +82-2-6233-5393\ne-mail:         76mutuli@douzone.com\nnic-hdl:        JN1361-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr\nsource:         KRNIC
CI1801-KR,AS Manager,,+82-2-6277-9025,,"Gyeonggi-do Ilsandong-gu, Goyang-si Baengma-ro 195\nMcity Building 3004",KR,hanadocu@hanafn.com,hanadocu@hanafn.com,,,krnic,"person:         AS Manager\naddress:        Gyeonggi-do Ilsandong-gu, Goyang-si Baengma-ro 195\naddress:        Mcity Building 3004\ncountry:        KR\nphone:          +82-2-6277-9025\ne-mail:         hanadocu@hanafn.com\nnic-hdl:        CI1801-KR\nmnt-by:         MNT-KRNIC-AP\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
