network,asn,domain,name,type,country
130.176.217.0/24,AS16509,amazon.com,"Amazon.com, Inc.",hosting,US
2001:16a2:c382::/48,AS39891,stc.com.sa,Saudi Telecom Company JSC,isp,SA
91.237.140.0/24,AS3170,veloxserv.co.uk,VeloxServ Communications Ltd,hosting,GB
212.57.40.0/23,AS8400,telekom.rs,TELEKOM SRBIJA a.d.,isp,RS
31.56.255.0/24,AS9009,m247.com,M247 Europe SRL,hosting,RO
137.220.142.0/24,AS152194,ctgserver.net,CTG Server Limited,hosting,HK
2a02:2e02:1660::/44,AS12479,orange.es,Orange Espagne SA,isp,ES
41.32.191.0/24,AS8452,te.eg,TE-AS,isp,EG
182.253.90.0/24,AS17451,biznetnetworks.com,BIZNET NETWORKS,hosting,ID
31.59.246.0/24,AS9009,m247.com,M247 Europe SRL,hosting,RO
66.128.168.0/23,AS13576,sdncommunications.com,SOUTH DAKOTA NETWORK,isp,US
45.146.131.0/24,AS60781,leaseweb.com,LeaseWeb Netherlands B.V.,hosting,NL
45.177.232.0/24,AS269001,atmtelecom.net.br,ATM TELECOM LTDA,isp,BR
39.39.168.0/21,AS17557,ptcl.com.pk,Pakistan Telecommunication Company Limited,isp,PK
61.59.160.0/19,AS4780,seed.net.tw,Digital United Inc.,isp,TW
204.58.15.0/24,AS32586,nwic.ca,Niagara Wireless Internet Co.,isp,CA
213.200.224.0/19,AS3303,swisscom.ch,Swisscom (Schweiz) AG,isp,CH
200.69.45.0/24,AS10617,sion.com,SION S.A,isp,AR
42.3.232.0/21,AS4760,netvigator.com,HKT Limited,isp,HK
52.95.244.0/24,AS16509,amazon.com,"Amazon.com, Inc.",hosting,US
65.160.88.0/23,AS174,cogentco.com,Cogent Communications,isp,US
90.158.16.0/24,AS9021,isnet.net.tr,Is Net Elektonik Bilgi Uretim Dagitim Ticaret ve Iletisim Hizmetleri A.S.,hosting,TR
138.185.120.0/23,AS263910,gurinet.com.br,Gurisat Gurinet Ltda Me,isp,BR
66.112.245.0/24,AS395461,apogee.us,Apogee Telecom Inc.,isp,US
2a07:7200:ff80::/42,AS34197,shrd.fr,Three Fourteen SASU,hosting,FR
46.175.16.0/24,AS34251,imc.ua,LLC IMC,isp,UA
2401:d800:76d0::/48,AS7552,viettel.com.vn,Viettel Group,isp,VN
2620:171:38::/48,AS42,pch.net,"WoodyNet, Inc.",hosting,US
120.209.249.0/24,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
2c0f:fc89:c9::/48,AS36992,etisalat.com.eg,ETISALAT MISR,isp,EG
2804:2e88:8000::/33,AS265351,infoartestelecom.com.br,INFOARTES TELECOM LTDA,isp,BR
5.140.228.0/23,AS12389,rt.ru,PJSC Rostelecom,isp,RU
2403:7100:18::/45,AS132220,jprdigital.in,JPR Digital Pvt. Ltd.,isp,IN
99.217.176.0/20,AS15128,comwave.net,Comwave Telecom Inc.,isp,CA
191.97.9.0/24,AS262186,aztecacomunicaciones.com,TV AZTECA SUCURSAL COLOMBIA,isp,CO
219.118.64.0/20,AS2514,nttpc.co.jp,"NTT PC Communications, Inc.",isp,JP
