start_ip,end_ip,join_key,name,domain,type,asn,as_name,as_domain,as_type,country
103.66.92.0,103.66.95.255,103.66.0.0,"RM D, 12/F, Xinhai building ,",qq.com,hosting,AS55933,Cloudie Limited,worria.com,hosting,CN
124.107.175.244,124.107.175.244,124.107.0.0,SMEMKT2017021596232_CEI OPTICAL LABORATORY INC.,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
113.37.47.96,113.37.47.103,113.37.0.0,OTSUKA CORPORATION,otsuka-shokai.co.jp,business,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
122.228.163.8,122.228.163.15,122.228.0.0,Wenzhou Xiangyu middle school,hz.zj.cn,education,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN
122.52.243.224,122.52.243.224,122.52.0.0,SMEODN2021120378297_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
107.151.216.40,107.151.216.47,107.151.0.0,muxiu,nbvps.cn,hosting,AS21859,Zenlayer Inc,zenlayer.com,hosting,CN
124.105.99.139,124.105.99.139,124.105.0.0,SMESSN2022090675900_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
119.93.107.61,119.93.107.61,119.93.0.0,SMEQCY2013052936102_VORTEX INC.,vortexweb.net,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
108.162.39.88,108.162.39.95,108.162.0.0,DURASOL AWNINGS,durasol.com,business,AS6128,Cablevision Systems Corp.,cablevision.com,isp,US
103.10.196.252,103.10.196.255,103.10.0.0,"Unit A/3F, Winner Commercial Building",techavenue.hk,business,AS55799,IPTELECOM ASIA,iptelecom.asia,isp,HK
108.178.220.56,108.178.220.63,108.178.0.0,Mediacom Communications Corp,mediacomcable.com,isp,AS30036,Mediacom Communications Corp,mediacomcable.com,isp,US
12.47.227.64,12.47.227.79,12.47.0.0,HYATT,hyatt.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.178.224.80,12.178.225.7,12.178.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.108.37.72,12.108.37.79,12.108.0.0,MCGEHEE ENGINEERING,mcgehee.org,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.211.85.64,12.211.85.103,12.211.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
117.239.244.104,117.239.244.111,117.239.0.0,NIB (National Internet Backbone),bsnl.co.in,isp,AS9829,National Internet Backbone,bsnl.co.in,isp,IN
122.224.24.244,122.224.24.247,122.224.0.0,Shaoxing Tangsong Jiuye LTD,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN
12.238.90.216,12.238.90.223,12.238.0.0,NTT GLOBAL NETWORKSCO TEOCO,nttglobal.net,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.45.65.56,12.45.65.63,12.45.0.0,"GUIDEWELL SANITAS 1, LLC",mysanitas.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
113.42.136.144,113.42.136.159,113.42.0.0,ARTERIA Networks Corporation,arteria-net.com,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
12.219.127.64,12.219.127.127,12.219.0.0,TRI STATE CONSULTANTS LLC,tri-stateconsulting.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.3.49.99,122.3.49.99,122.3.0.0,"RBGNPG2013012721788_ALBIS, EDWIN",pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.206.81.40,12.206.81.47,12.206.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
103.11.192.1,103.11.192.254,103.11.0.0,Corp 1,univision.mn,isp,AS17882,Univision LLC,unitel.mn,isp,MN
115.146.189.148,115.146.189.151,115.146.0.0,Philippine Long Distance Telephone Co.,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.221.224.64,12.221.224.79,12.221.0.0,AUTOCOM,autocomnisssan.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.215.144.96,12.215.144.103,12.215.0.0,KITCHEN MART,kitchenmartinc.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
124.107.123.90,124.107.123.90,124.107.0.0,SMESPL2021021501878_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.14.37.200,12.14.37.207,12.14.0.0,GFL ENVIRONMENTAL RECYCLING S,gflenv.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
104.130.57.232,104.130.57.239,104.130.0.0,Honey Baked Ham Company,hbham.com,business,AS27357,Rackspace Hosting,rackspace.com,hosting,US
104.227.92.0,104.227.92.127,104.227.0.0,DR SOFT SRL,drsoft.com,business,AS55286,B2 Net Solutions Inc.,servermania.com,hosting,US
122.55.218.80,122.55.218.83,122.55.0.0,1-1GLIBE1_ENTERPRISE Client,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
108.85.181.232,108.85.181.239,108.85.0.0,PSR LLC-110420145954,psrinc.net,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.177.23.48,12.177.23.55,12.177.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
104.169.6.112,104.169.6.119,104.169.0.0,Burns & Mcdonnell,burnsmcd.com,business,AS5650,"Frontier Communications of America, Inc.",frontier.com,isp,US
111.68.121.255,111.68.121.255,111.68.0.0,PT. Varnion,varnion.com,hosting,AS45287,"Varnion Technology Semesta, PT",varnion.com,hosting,ID
109.74.247.216,109.74.247.223,109.74.0.0,Maidstone Borough Council,maidstone.gov.uk,business,AS50300,CustodianDC Limited,custodiandc.com,hosting,GB
12.235.196.208,12.235.196.215,12.235.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.53.117.192,122.53.117.199,122.53.0.0,1-19J719M_ENTERPRISE Client,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
108.230.252.40,108.230.252.55,108.230.0.0,Private Customer - AT&T Internet Services,ads-internet.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
102.22.218.185,102.22.218.185,102.22.0.0,NGCOM,ngcomnetworks.com,isp,AS37347,NGCOM,ngcomworld.com,isp,NG
108.61.1.0,108.61.2.15,108.61.0.0,"The Constant Company, LLC",constant.com,hosting,AS20473,"The Constant Company, LLC",constant.com,hosting,US
104.169.146.128,104.169.146.175,104.169.0.0,BDSL Frontier Communications Portage IN,frontier.com,isp,AS5650,"Frontier Communications of America, Inc.",frontier.com,isp,US
107.195.130.56,107.195.130.71,107.195.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.233.5.160,12.233.5.167,12.233.0.0,CRAIG ZINN AUTOMOTIVE GROUP D,czag.net,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.69.198.48,12.69.198.63,12.69.0.0,BCN TELECOM INC-DWYER INSTRUM,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
109.73.90.104,109.73.90.111,109.73.0.0,SILTRONIC SRL,siltronic.com,business,AS15605,Connesi s.p.a.,connesi.it,isp,IT
12.202.207.112,12.202.207.119,12.202.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
124.107.119.32,124.107.119.39,124.107.0.0,"SMEMKT2016121984254_MICROGENESIS SOFTWARE, INC.",pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
124.106.67.248,124.106.67.248,124.106.0.0,SMEATT2016090154961_AYANNA'S COMPUTER CENTER,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
103.219.208.0,103.219.211.255,103.219.0.0,QubeSys Technologies Pvt Ltd,qubesys.com,business,AS134325,JETSPOTNETWORKS PVT LTD,jetspot.in,isp,IN
122.53.62.166,122.53.62.166,122.53.0.0,SMEPSG2019061366174_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.9.125.96,12.9.125.111,12.9.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
124.105.34.192,124.105.34.192,124.105.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
103.227.168.0,103.227.169.255,103.227.0.0,Unibet Services Limited,unibet.com,business,AS133409,Unibet Services Limited,unibet.com,business,AU
122.2.14.148,122.2.14.151,122.2.0.0,1-19AFUUT_ENTERPRISE Client,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.39.253.128,12.39.253.135,12.39.0.0,H.C. FOODS CO. LTD,hcfoods.net,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.218.196.40,12.218.196.47,12.218.0.0,METTEL-WCA,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
108.201.151.200,108.201.151.207,108.201.0.0,Private Customer - AT&T Internet Services,ads-internet.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
115.125.62.56,115.125.62.63,115.125.0.0,ARTERIA Networks Corporation,arteria-net.com,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
12.21.249.80,12.21.249.87,12.21.0.0,N CENTRAL MS,wildliferescueandrehab.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.227.108.64,122.227.108.67,122.227.0.0,TELECOM,hz.zj.cn,isp,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN
107.221.97.64,107.221.97.71,107.221.0.0,Private Customer - AT&T Internet Services,ads-internet.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.48.13.160,12.48.13.191,12.48.0.0,HBNC INC,angellbusiness.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.68.79.96,12.68.79.103,12.68.0.0,"SAULSBURY INDUSTRIES, INC.",si-tx.net,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
108.163.216.224,108.163.216.227,108.163.0.0,Evolve Security,evolvesecurity.com,business,AS32475,SingleHop LLC,singlehop.com,hosting,US
122.3.53.7,122.3.53.7,122.3.0.0,SMEMYG2018030906261_WIZY SOFTWARE LABS INC.,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.192.202.72,12.192.202.79,12.192.0.0,CEMEX USA,cemexusa.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
108.168.202.40,108.168.202.47,108.168.0.0,SoftLayer Technologies Inc.,ibm.com,hosting,AS36351,SoftLayer Technologies Inc.,softlayer.com,hosting,MX
12.160.89.96,12.160.89.103,12.160.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
